0.100000	-nan	-nan	0.000052	-0.000000	-0.000022	0.025978	-0.021649	0.531052	-0.000011	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
11.500000	1.534616	0.228422	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.413235	-18.315315	3.999015	-0.544710	3.348144	47.421223	0.531000	0.465645
11.600000	1.534616	0.228422	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.413235	-18.315315	3.999015	-0.544710	3.348144	47.421223	0.531000	0.465645
11.700000	1.699592	0.100593	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	48.149464	-22.421009	4.572901	-0.989377	3.383993	49.599525	0.531000	0.458072
11.800000	1.699592	0.100593	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	48.149464	-22.421009	4.572901	-0.989377	3.383993	49.599525	0.531000	0.458072
11.900000	1.751807	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.745731	-24.606443	4.754537	-1.349911	3.419808	47.575127	0.531000	0.465118
12.000000	1.751807	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.745731	-24.606443	4.754537	-1.349911	3.419808	47.575127	0.531000	0.465118
12.100000	1.834797	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.487743	-26.411188	5.043226	-1.508950	3.428755	49.515331	0.531000	0.458370
12.200000	1.834797	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.487743	-26.411188	5.043226	-1.508950	3.428755	49.515331	0.531000	0.458370
12.300000	1.869574	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.605732	-27.351053	5.164198	-1.621142	3.437701	49.771832	0.531000	0.457462
12.400000	1.869574	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.605732	-27.351053	5.164198	-1.621142	3.437701	49.771832	0.531000	0.457462
12.500000	1.914042	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.040558	-28.767673	5.318887	-1.817893	3.455583	49.458660	0.531000	0.458570
12.600000	1.914042	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.040558	-28.767673	5.318887	-1.817893	3.455583	49.458660	0.531000	0.458570
12.700000	1.939441	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.821949	-29.245533	5.407239	-1.848090	3.455583	50.280216	0.531000	0.455649
12.800000	1.939441	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	47.821949	-29.245533	5.407239	-1.848090	3.455583	50.280216	0.531000	0.455649
12.900000	1.862178	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.444958	-27.791883	5.138472	-1.756231	3.455583	47.781040	0.531000	0.464412
13.000000	1.862178	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.444958	-27.791883	5.138472	-1.756231	3.455583	47.781040	0.531000	0.464412
